,C1,C2,C3,C4,C5,C6
Intentional homicide,0.10280500357720723,1.0224520142442426,1.0259153187007293,1.0269561782863241,1.027008305910263,1.0270270270270272
Harm,0.8429460946180519,0.8458498946775453,0.9066643574685025,1.0079956852370358,1.02232947300932,1.0270270270270263
Robbery,0.8594215695800506,0.8697983567296792,0.8730558667171651,1.0032984690396902,1.0266929959113889,1.0270270270270263
Burglary,0.9693110435178514,0.9725752076577114,0.9850902642369181,1.0027082704160728,1.0081841787182166,1.0270270270270265
Theft,0.9388820925898568,0.955136864987845,0.9656727639535214,0.9836410482992534,1.020304666845116,1.0270270270270263
Unlawful acts,0.4611650983409369,0.4617352694282543,1.0208713254692028,1.026701359006257,1.026876538851379,1.0270270270270263
