,C1,C2,C3,C4,C5,C6
Intentional homicide,0.320632193606954,0.9589822785990548,-0.05884984669892187,0.03226235554938427,0.007219946255963161,-0.004326790584742551
Harm,0.9181209585986216,-0.053886919187252164,-0.24660588555619903,-0.31832582014114597,-0.11972379785274198,-0.06853870452311045
Robbery,0.9270499283102559,-0.10186651633205412,-0.057074600195584455,0.36089139962393835,-0.1529526948821063,0.01827651814863939
Burglary,0.9845359533901499,-0.05713286392139,-0.11187071367970554,-0.13273283760680576,0.07399938041729663,0.13726925478347224
Theft,0.9689592832466475,-0.12749420535062833,-0.10264452720762286,0.1340458292739166,0.191477462239979,-0.08199000049951462
Unlawful acts,0.67909137701854,0.023878255533380577,0.7477540077063769,-0.0763546562892812,-0.013235552316466509,-0.012267362212286312
